Name,Is_Vpn,Is_Office,Is_O365
UNKNOWN,0,0,0
CISCO,1,0,0
CITRIX,1,0,0
CITRIXLEGACY,1,0,0
PULSE,1,0,0
SONICWALL,1,0,0
FORTINET,1,0,0
F5,1,0,0
OPENVPN,1,0,0
OWA,0,1,0
LYNC,0,1,0
ADFS,0,1,0
IMAP,0,0,0
O365,0,0,1
